param,ours,ours-HT,ours-HT-HD,ours-HT-HD-R
10,0.024666666666666667,0.023,0.024,0.038
20,0.084,0.07833333333333332,0.088,0.148
30,0.13633333333333333,0.15333333333333335,0.14666666666666667,0.2986666666666667
40,0.312,0.27066666666666667,0.264,0.4083333333333333
50,0.5283333333333333,0.441,0.4336666666666667,0.7313333333333334
100,2.3313333333333337,2.0646666666666667,2.036,3.6983333333333337
150,5.3,5.485,5.456333333333333,7.554666666666667
200,12.621666666666666,11.460333333333335,11.27,19.71166666666667
250,18.61266666666667,15.641,15.843333333333334,28.479333333333333
300,26.994666666666667,23.559,23.871333333333332,40.90266666666666
400,67.17633333333333,59.36333333333334,54.01533333333334,91.18633333333332
500,102.51433333333333,88.89666666666668,89.38733333333333,150.777
