param,mono(fp),mono(p),am(fp+pc+wrcp),am(fp+pc),am(fp),am(p)
1000,2832.0390625,2832.40625,1204.0390625,1204.3046875,1122.4609375,1111.28515625
2000,1534.66015625,1522.5625,688.88671875,688.765625,619.90234375,614.83203125
3000,1049.61328125,1036.23828125,510.2734375,510.0859375,445.24609375,442.140625
4000,861.30078125,854.421875,419.5546875,419.70703125,356.61328125,354.2109375
5000,710.5390625,708.0859375,367.72265625,367.87890625,306.91796875,305.08203125
6000,636.55078125,628.57421875,327.88671875,328.12890625,267.84765625,266.41796875
7000,547.96484375,543.60546875,303.5390625,303.91015625,244.078125,242.7890625
8000,483.9296875,481.546875,280.72265625,280.84765625,221.03125,219.84765625
9000,452.16796875,451.74609375,266.6953125,266.4140625,207.203125,205.9140625
10000,430.94140625,429.86328125,255.71875,255.7890625,196.20703125,195.28125
